CCN,Penalty,SCR
010001,N,6.575
010005,N,1.975
010006,N,5
010007,N,7
010008,N,6
010011,N,4.9
010012,N,3.8
010016,N,3.7
010018,N,6
010019,N,1.7
010021,Y,8
010022,N,5
010023,N,3.95
010024,N,5.6
010025,N,4.35
010029,Y,8.275
010032,N,5
010033,Y,7.675
010034,N,3
010035,N,2.35
010036,N,6
010038,N,2.4
010039,Y,8.325
010040,N,4.4
010044,N,4
010045,Y,8
010046,N,5.875
010047,N,6
010049,N,2
010051,N,7
010052,N,6
010054,N,1.7
010055,N,6.325
010056,N,2.95
010058,N,7
010059,N,5
010061,Y,9.3
010062,N,4
010065,N,3.45
010069,N,3
010073,N,5
010078,Y,7.4
010079,N,5.6
010083,N,4.1
010085,N,6
010086,N,4
010087,Y,7.725
010089,N,5.1
010090,N,5.425
010091,N,5
010092,N,6.725
010095,N,7
010097,N,6
010099,N,6
010100,N,6.75
010101,Y,9
010102,N,7
010103,N,5.45
010104,N,6.1
010108,N,2.05
010109,N,3
010110,N,6
010112,N,5
010113,N,5.725
010114,N,5.45
010118,N,3
010120,N,6
010125,N,4
010126,N,5.25
010128,N,6
010129,N,6
010130,N,5
010131,N,7
010138,N,6
010139,Y,8.025
010144,N,6.725
010146,N,6
010148,N,5
010149,N,3.6
010150,N,4
010157,N,4.3
010158,Y,10
010164,N,3.8
010168,N,4
010169,N,7
020001,Y,8.05
020006,N,6.75
020008,N,3
020012,Y,9
020017,Y,8.95
020018,N,6
020024,N,4
020026,Y,9
020027,N,7
030001,N,3.8
030002,N,6.975
030006,Y,9.35
030007,N,3.45
030010,N,6.675
030011,N,5.675
030012,N,5.075
030013,N,4.325
030014,N,5.55
030016,N,4.775
030022,Y,9.35
030023,N,5.95
030024,Y,8.05
030030,N,6.075
030033,N,1
030036,N,2.025
030037,N,5.775
030038,N,5.925
030043,N,4.6
030055,N,5.125
030061,N,2.975
030062,N,6.675
030064,Y,8.025
030065,N,6
030068,N,4
030069,N,1
030071,N,3
030073,N,4
030074,Y,8.95
030077,N,7
030078,Y,10
030083,N,4.775
030084,N,4
030085,Y,7.675
030087,N,6.95
030088,N,6.975
030089,N,5.625
030092,Y,7.075
030093,N,3.95
030094,Y,7.025
030101,N,3.975
030103,N,2.325
030105,N,3.6
030107,N,2
030108,N,1
030110,N,4.725
030111,N,4.475
030112,Y,8
030113,N,6
030114,N,3.375
030115,N,1.7
030117,N,1.35
030118,N,3
030119,Y,9.025
030120,N,4
030121,Y,7.725
030122,N,6.75
030123,N,5.925
030130,Y,9
030131,N,1
030132,Y,8
040001,N,3
040002,N,5
040004,N,6.225
040007,N,4.325
040010,Y,7.4
040011,Y,9
040014,N,6.25
040015,N,6
040016,Y,7.725
040017,Y,8
040018,Y,10
040019,N,3
040020,Y,9.325
040022,N,3.35
040026,N,3.625
040027,N,3.6
040029,N,4.9
040036,Y,7.95
040039,N,3.45
040041,N,4
040042,N,5.65
040047,N,6
040050,N,2.05
040051,N,4
040055,N,4.7
040062,N,2.975
040067,N,4
040069,N,4
040071,N,3.625
040072,N,7
040074,N,3.65
040076,N,3
040078,N,5.55
040080,N,5
040084,N,3.925
040085,N,4
040088,N,3.275
040114,N,6.25
040118,N,4.275
040119,Y,8.375
040134,N,3.925
040137,N,3.1
040147,N,1
040152,Y,9
040153,N,6
050002,N,5.025
050006,N,2.975
050007,N,6.1
050008,N,4.45
050009,Y,9.65
050013,Y,7.7
050014,N,2.75
050017,N,4.125
050018,N,1
050022,N,6.275
050024,N,4.9
050025,Y,7.6
050026,N,5.125
050028,N,1.7
050030,N,5.675
050036,N,6.725
050038,N,6.4
050039,N,4.8
050040,N,6.3
050042,N,1
050043,N,4.675
050045,Y,7.9
050046,Y,8
050047,N,3.675
050054,N,4.75
050055,N,4.425
050056,Y,7.725
050057,N,4.775
050058,N,3.95
050060,Y,8.7
050063,N,5.675
050067,N,4
050069,Y,7.675
050070,N,3.725
050071,N,5.075
050072,N,4.95
050073,Y,8.975
050075,N,6.7
050076,N,6.05
050077,Y,8.275
050078,N,6.35
050079,Y,8
050082,N,5.75
050084,N,3.325
050089,N,6.9
050090,N,7
050091,N,4.6
050093,Y,7.325
050096,N,6
050099,Y,7.025
050100,Y,7.075
050101,N,6.05
050102,N,5.575
050103,Y,7.9
050104,N,6.575
050107,N,3.95
050108,N,2.95
050110,N,1
050111,N,1.35
050112,N,6.375
050113,N,4
050115,N,6.3
050116,N,5.925
050118,N,2.4
050121,N,6.3
050122,Y,7.4
050124,N,5.375
050125,N,6.1
050126,N,4.925
050127,N,4.725
050128,Y,7.025
050129,N,4.925
050131,N,3
050132,Y,8.325
050133,Y,8.05
050135,N,4.6
050136,N,2
050137,N,5.675
050138,N,4.625
050139,N,4.675
050140,N,4.45
050145,N,4.75
050149,N,4.675
050150,N,1
050152,N,4.4
050153,N,3.35
050158,N,3
050159,Y,9.675
050167,N,5.7
050168,N,4.95
050169,N,5.4
050174,N,5.05
050179,Y,9.65
050180,Y,8.65
050189,N,7
050191,N,1.975
050192,N,7
050194,Y,8
050195,N,6.3
050196,N,7
050197,N,2.325
050204,N,2.05
050205,N,3
050211,N,1.35
050222,N,4.3
050224,N,5.7
050225,N,4.425
050226,Y,7.725
050228,Y,7.4
050230,N,6.85
050231,N,5.875
050232,N,5.25
050234,N,3.8
050235,N,5.875
050236,Y,7.2
050238,N,4.575
050239,N,5.3
050242,N,6.225
050243,N,3.35
050245,N,6.725
050248,Y,8.95
050254,N,3.625
050257,N,4
050261,Y,9.3
050262,Y,8.7
050272,N,3
050276,Y,7.075
050278,Y,8.7
050279,Y,8.25
050280,N,2.625
050281,N,1.35
050283,N,2.625
050289,Y,7.675
050290,N,6.025
050291,N,2.05
050292,N,6.3
050295,N,2.35
050296,N,2.4
050298,N,2
050300,N,5.05
050301,N,7
050305,Y,7.4
050308,N,5.05
050309,N,5.75
050313,N,3
050315,Y,7.025
050320,N,5.45
050324,N,6.95
050327,Y,8.375
050329,N,1.35
050334,N,5.625
050335,N,6.7
050336,N,4
050342,N,3.025
050348,N,6.7
050350,N,6.675
050351,Y,7.375
050352,Y,10
050353,N,4.9
050357,N,4
050359,N,5.725
050360,Y,8.05
050367,N,6.975
050373,N,6.425
050376,Y,8.7
050378,Y,7.55
050380,Y,7.4
050382,N,6.7
050385,N,3
050390,Y,7.675
050393,Y,7.325
050394,N,2.75
050396,N,5.75
050397,N,7
050407,N,6
050411,N,3.4
050414,N,6.075
050417,N,2.75
050423,N,4
050424,Y,9.675
050425,N,4.6
050426,N,1
050434,N,6
050435,N,6
050438,N,6.75
050441,N,6.4
050444,N,6.375
050454,N,4.575
050455,N,7
050457,N,3.3
050464,N,5.05
050468,N,5.275
050471,Y,7.025
050481,N,6.25
050485,Y,8.375
050488,N,6.7
