"","ID","MNAME","MCRNUM","MAPP8","MAPP5","HOSPBD"
"1","6420460","St. Vincent Frankfort Hospital",151316,2,2,25
"2","6420465","Johnson Memorial Hospital",150001,2,1,101
"3","6420477","Franciscan St. Francis Health-Carmel",NA,2,2,6
"4","6420495","Methodist Hospitals",150002,2,1,503
"5","6420505","Indiana University Health Goshen Hospital",150026,2,2,122
"6","6420510","Oaklawn Psychiatric Center",154031,2,2,16
"7","6420520","Putnam County Hospital",151333,2,2,25
"8","6420525","Hancock Regional Hospital",150037,2,1,92
"9","6420530","Decatur County Memorial Hospital",151332,2,2,25
"10","6420545","Valle Vista Hospital",154024,2,2,102
"11","6420565","St. Mary Medical Center",150034,2,2,195
"12","6420570","Indiana University Health Blackford Hospital",151302,2,2,15
"13","6420590","Parkview Huntington Hospital",150091,2,2,36
"14","6420605","Community Hospital East",150074,2,1,233
"15","6420609","Fairbanks",150179,2,2,86
"16","6420620","Wishard Health Services",150024,1,1,293
"17","6420640","Community Westview Hospital",150129,2,1,68
"18","6420650","Larue D. Carter Memorial Hospital",154008,2,1,148
"19","6420715","St. Vincent Indianapolis Hospital",150084,1,1,903
"20","6420728","Community Hospital South",150128,2,2,108
"21","6420735","Richard L. Roudebush Veterans Affairs Medical Center",NA,1,1,209
"22","6420740","Memorial Hospital and Health Care Center",150115,2,2,133
"23","6420750","Clark Memorial Hospital",150009,2,1,158
"24","6420760","Parkview Noble Hospital",150146,2,2,31
"25","6420770","Indiana University Health Starke Hospital",150102,2,2,20
"26","6420775","Community Howard Regional Hospital",150007,2,2,168
"27","6420780","St. Joseph Hospital and Health Center",150010,2,2,137
"28","6420815","River Bend Hospital",154005,2,2,16
"29","6420830","Parkview LaGrange Hospital",151323,2,2,25
"30","6420850","Indiana University Health La Porte Hospital",150006,2,1,204
"31","6420855","Dearborn County Hospital",150086,2,2,78
"32","6420860","Witham Memorial Hospital",150104,2,2,52
"33","6420870","Greene County General Hospital",151317,2,2,25
"34","6420875","Logansport State Hospital",NA,2,2,170
"35","6420880","Logansport Memorial Hospital",150072,2,2,83
