"","PROVIDER_NUMBER","HOSPITAL","TACMIV31"
"1",10001,"SOUTHEAST ALABAMA MEDICAL CENTER",1.723644373
"2",10005,"MARSHALL MEDICAL CENTER SOUTH",1.312823597
"3",10006,"ELIZA COFFEE MEMORIAL HOSPITAL",1.548767884
"4",10007,"MIZELL MEMORIAL HOSPITAL",1.002728098
"5",10008,"CRENSHAW COMMUNITY HOSPITAL",0.943063412
"6",10009,"HARTSELLE MEDICAL CENTER",1.057285959
"7",10010,"MARSHALL MEDICAL CENTER NORTH",0.974
"8",10011,"ST VINCENT'S EAST",1.663678722
"9",10012,"DEKALB REGIONAL MEDICAL CENTER",1.213966084
"10",10016,"SHELBY BAPTIST MEDICAL CENTER",1.60824927
"11",10018,"CALLAHAN EYE FOUNDATION HOSPITAL",1.302656522
"12",10019,"HELEN KELLER MEMORIAL HOSPITAL",1.32630679
"13",10021,"DALE MEDICAL CENTER",1.255678709
"14",10022,"CHEROKEE MEDICAL CENTER",0.877445232
"15",10023,"BAPTIST MEDICAL CENTER SOUTH",1.796294446
"16",10024,"JACKSON HOSPITAL & CLINIC INC",1.589767462
"17",10025,"G H LANIER MEMORIAL HOSPITAL",1.363580479
"18",10027,"ELBA GENERAL HOSPITAL",0.876237705
"19",10029,"EAST ALABAMA MEDICAL CENTER AND SNF",1.714353241
"20",10032,"WEDOWEE HOSPITAL",0.883759593
"21",10033,"UNIVERSITY OF ALABAMA HOSPITAL",2.077276517
"22",10034,"COMMUNITY HOSPITAL INC",1.235163372
"23",10035,"CULLMAN REGIONAL MEDICAL CENTER",1.451909904
"24",10036,"ANDALUSIA REGIONAL HOSPITAL",1.245873977
"25",10038,"STRINGFELLOW MEMORIAL HOSPITAL",1.272727515
"26",10039,"HUNTSVILLE HOSPITAL",1.918666084
"27",10040,"GADSDEN REGIONAL MEDICAL CENTER",1.632060527
"28",10043,"CHILTON MEDICAL CENTER",1.141914446
"29",10044,"MARION REGIONAL MEDICAL CENTER",1.022177595
"30",10045,"FAYETTE MEDICAL CENTER",1.101261816
"31",10046,"RIVERVIEW REGIONAL MEDICAL CENTER",1.522152436
"32",10047,"GEORGIANA HOSPITAL",0.849448001
"33",10049,"MEDICAL CENTER ENTERPRISE",1.133525007
"34",10050,"ST VINCENTS BLOUNT",1.0591682
"35",10051,"GREENE COUNTY HOSPITAL",0.834227346
"36",10052,"LAKE MARTIN COMMUNITY HOSPITAL",0.954233044
"37",10054,"PARKWAY MEDICAL CENTER",1.205282936
"38",10055,"FLOWERS HOSPITAL",1.624604652
"39",10056,"ST VINCENT'S BIRMINGHAM",1.839403427
"40",10058,"BIBB MEDICAL CENTER",0.966571218
"41",10059,"LAWRENCE MEDICAL CENTER",1.115325826
"42",10061,"HIGHLANDS MEDICAL CENTER",1.042223103
"43",10062,"WIREGRASS MEDICAL CENTER",1.093246589
"44",10065,"RUSSELL HOSPITAL",1.5155443
"45",10066,"FLORALA MEMORIAL HOSPITAL",0.85797671
"46",10069,"MEDICAL CENTER BARBOUR",1.015679142
"47",10073,"CLAY COUNTY HOSPITAL",1.010024149
"48",10078,"NORTHEAST ALABAMA REGIONAL MED CENTER",1.580441258
"49",10079,"ATHENS-LIMESTONE HOSPITAL",1.279770622
"50",10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER",1.267304847
"51",10085,"DECATUR GENERAL HOSPITAL",1.431809778
"52",10086,"NORTHWEST MEDICAL CENTER",1.04062784
"53",10087,"UNIV OF SOUTH ALABAMA MEDICAL CENTER",2.226544479
"54",10089,"WALKER BAPTIST MEDICAL CENTER",1.452749752
"55",10090,"PROVIDENCE HOSPITAL",1.888187602
"56",10091,"GROVE HILL MEMORIAL HOSPITAL",0.863668807
"57",10092,"D C H REGIONAL MEDICAL CENTER",1.585690485
"58",10095,"HALE COUNTY HOSPITAL",0.91584425
"59",10097,"ELMORE COMMUNITY HOSPITAL",0.782789886
"60",10099,"D W MCMILLAN MEMORIAL HOSPITAL",0.948792778
"61",10100,"THOMAS HOSPITAL",1.791839206
"62",10101,"CITIZENS BAPTIST MEDICAL CENTER",1.100856589
"63",10102,"J PAUL JONES HOSPITAL",0.872222048
"64",10103,"PRINCETON BAPTIST MEDICAL CENTER",1.756899413
"65",10104,"TRINITY MEDICAL CENTER",1.716166545
"66",10108,"PRATTVILLE BAPTIST HOSPITAL",1.110443475
"67",10109,"PICKENS COUNTY MEDICAL CENTER",1.12507512
"68",10110,"BULLOCK COUNTY HOSPITAL",1.016041941
"69",10112,"BRYAN W WHITFIELD MEM HOSP INC",0.938908834
"70",10113,"MOBILE INFIRMARY",1.71665637
"71",10114,"""MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM""",1.484627309
"72",10118,"VAUGHAN REG MED CENTER PARKWAY CAMPUS",1.412877289
"73",10120,"MONROE COUNTY HOSPITAL",0.998810914
"74",10125,"LAKELAND COMMUNITY HOSPITAL",1.0359214
"75",10126,"TROY REGIONAL MEDICAL CENTER",1.2225729
"76",10128,"JACKSON MEDICAL CENTER",0.858779837
"77",10129,"NORTH BALDWIN INFIRMARY",1.128017032
"78",10130,"ST VINCENT'S ST CLAIR",0.989392078
"79",10131,"CRESTWOOD MEDICAL CENTER",1.532213785
"80",10137,"COOPER GREEN MERCY HOSPITAL",1.213321437
"81",10138,"HILL HOSPITAL OF SUMTER COUNTY",0.850177204
"82",10139,"BROOKWOOD MEDICAL CENTER",1.660253442
"83",10144,"SPRINGHILL MEDICAL CENTER",1.791688016
"84",10146,"JACKSONVILLE MEDICAL CENTER",1.027941465
"85",10148,"EVERGREEN MEDICAL CENTER",0.961323051
"86",10149,"BAPTIST MEDICAL CENTER EAST",1.249420803
"87",10150,"L V STABLER MEMORIAL HOSPITAL",1.114217089
"88",10152,"INFIRMARY WEST",1.480280645
"89",10157,"SHOALS HOSPITAL",1.253676815
"90",10158,"RUSSELLVILLE HOSPITAL",1.178604163
"91",10164,"COOSA VALLEY MEDICAL CENTER",1.129293998
"92",10168,"SUMMIT HOSPITAL",2.102195371
"93",10169,"ATMORE COMMUNITY HOSPITAL",1.108157563
"94",20001,"PROVIDENCE ALASKA MEDICAL CENTER",1.779706012
"95",20006,"MAT-SU REGIONAL MEDICAL CENTER",1.327967448
"96",20008,"BARTLETT REGIONAL HOSPITAL",1.210080601
"97",20012,"FAIRBANKS MEMORIAL HOSPITAL",1.542245611
"98",20017,"ALASKA REGIONAL HOSPITAL",2.289307998
"99",20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL",0.879112734
"100",20024,"CENTRAL PENINSULA GENERAL HOSPITAL",1.496796016
"101",20026,"ALASKA NATIVE MEDICAL CENTER",1.545965026
"102",20027,"MT EDGECUMBE HOSPITAL",1.088062136
"103",30001,"MARYVALE HOSPITAL",1.473674677
"104",30002,"BANNER GOOD SAMARITAN MEDICAL CENTER",2.035347412
"105",30006,"TUCSON MEDICAL CENTER",1.806514119
"106",30007,"VERDE VALLEY MEDICAL CENTER",1.561326635
"107",30010,"CARONDELET ST  MARYS HOSPITAL",1.700279342
"108",30011,"CARONDELET ST JOSEPHS HOSPITAL",1.740392173
"109",30012,"YAVAPAI REGIONAL MEDICAL CENTER",1.684947828
"110",30013,"YUMA REGIONAL MEDICAL CENTER",1.54779451
"111",30014,"JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL",1.76964207
"112",30016,"CASA GRANDE REGIONAL MEDICAL CENTER",1.344045793
"113",30022,"MARICOPA MEDICAL CENTER",1.982673898
"114",30023,"FLAGSTAFF MEDICAL CENTER",2.016127531
"115",30024,"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER",2.276994135
"116",30030,"PHOENIX BAPTIST HOSPITAL",2.232862854
"117",30033,"PAYSON REGIONAL MEDICAL CENTER",1.420070838
"118",30036,"CHANDLER REGIONAL MEDICAL CENTER",1.787348255
"119",30037,"ST LUKES MEDICAL CENTER",2.142140302
"120",30038,"SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER",1.844632598
"121",30043,"SIERRA VISTA REGIONAL HEALTH CENTER INC",1.273642644
"122",30055,"KINGMAN REGIONAL MEDICAL CENTER",1.577013348
"123",30061,"BANNER BOSWELL MEDICAL CENTER",1.63140805
"124",30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",1.590537684
"125",30064,"UNIVERSITY MEDICAL CENTER",2.004755807
"126",30065,"BANNER DESERT MEDICAL CENTER",1.623069183
"127",30067,"LA PAZ REGIONAL HOSPITAL",1.361053722
"128",30068,"MT GRAHAM REGIONAL MEDICAL CENTER",1.202982168
"129",30069,"HAVASU REGIONAL MEDICAL CENTER",1.570267621
"130",30071,"FORT DEFIANCE INDIAN HOSPITAL",0.955383827
"131",30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION",1.346479822
"132",30074,"SELLS INDIAN HEALTH SERVICE HOSPITAL",0.824981853
"133",30077,"PHS INDIAN HOSPITAL-SAN CARLOS",0.9743
"134",30078,"PHOENIX INDIAN MEDICAL CENTER",1.27586187
